Total Population,Male,Female,Total HH,HH Farm,HH Non-Farm,Cultivable Area,Drip/Sprinkler Farmers,Irrigated Area,Unirrigated Area,Kuccha HH,PMAY HH,Waitlisted HH,Benefitted HH,Waitlisted Specific HH,Saubhagya HH,Vocational Training,Total Farmers,Soil Testing Farmers,Labour Budget,Piped Water HH,Color
-0.01446241,-0.004238563,-0.023768245,-0.113158796,0.274452165,-0.096928514,0.595167173,-0.059959313,-0.022660661,0.713753236,0.329774825,0.170113313,-0.459518169,0.942956245,0.661057938,-0.159087774,-0.314735359,2.384566582,0.862551439,-0.566416546,-0.073329254,green
-0.644973878,-0.626917147,-0.659773753,-0.736686549,0.183694213,-0.593744854,-0.051107054,-0.108091835,0.30537441,-0.103052161,0.422354473,-0.010299608,-0.28525641,0.28584356,1.177628447,-0.159087774,-0.330861972,0.839020064,0.355907799,-0.566419291,-0.832045299,red
-0.66400781,-0.688977446,-0.639127947,-0.692267462,-0.178361704,-0.599576031,0.31982103,-0.076003487,-0.583773283,0.529870429,-0.256562947,-0.1456093,-0.459518169,-0.626812947,-0.329035538,-0.117656398,-0.062085097,-0.223478031,-0.465980774,0.183880795,-0.598408929,red
-1.267114401,-1.25457716,-1.275133455,-1.232353751,-0.608730058,-1.025252004,-0.267876375,1.223574605,1.384437145,-0.849555402,0.187819364,-0.23581576,0.013478033,-0.578137933,-0.139626351,-0.159087774,-0.325486434,-0.852952135,-0.409687036,-0.487675509,-0.773636207,red
1.106048249,0.94845967,1.248242771,1.102346703,2.231115542,0.782996202,-0.278486847,-0.220401052,-0.652833298,0.00565204,0.064379833,1.703623145,3.760105844,1.454043888,3.364443602,-0.159087774,0.17981409,2.909302031,-0.108515538,1.635073324,1.383887278,green
-0.303658598,-0.320559284,-0.28719343,-0.373861479,-0.40574453,-0.208887125,0.056751467,-0.17226853,-0.644200797,0.360210601,-0.256562947,-0.100506069,-0.4470709,-0.67548796,-0.458178165,-0.159087774,-0.330861972,-0.123429167,-0.240805822,-0.270808752,-0.293116045,red
0.016031743,-0.01461654,0.044286447,0.907234823,1.1439719,-0.318513266,0.400451851,-0.236445226,-0.416590497,0.681731213,-0.133123416,0.102458467,1.43246664,-0.237412837,1.031266803,-0.128014242,0.034674577,-0.066109505,0.054736301,-0.281796333,0.587837586,green
-1.138062347,-1.127343169,-1.144759017,-1.15223334,-0.159819757,-0.955277871,-0.657920847,-0.124136009,-0.281635718,-0.568346778,0.095239716,-0.168160915,-0.409729095,-0.6389817,-0.43234964,0.058426946,-0.110464935,-0.738312811,0.229246889,-0.340564585,-0.445461409,red
-0.743631433,-0.724055006,-0.759561813,-0.767406292,0.53111175,-0.827575079,-0.521124674,-0.027870965,-0.52334577,-0.312333146,0.224851223,-0.100506069,-0.384834558,-0.663319207,-0.43234964,0.06878479,-0.14271816,-0.741960426,0.45442184,-0.188364209,-0.324428135,red
-0.215066106,-0.176720531,-0.249725116,-0.256794351,0.77020528,-0.253204076,0.564475724,0.268946254,1.585862189,0.11435624,1.002520268,-0.032851224,-0.322598215,-0.553800426,-0.346254555,0.162005385,-0.180346922,0.824950692,2.970751921,0.1086836,0.071790244,red
1.253337004,1.215588782,1.28475526,0.983203917,2.219404839,0.622638815,-0.393097487,-0.260511487,-0.166535693,-0.80302594,0.761813183,0.711352077,0.822550484,1.67308145,4.526727248,-0.091761789,-0.330861972,0.45497833,-0.373096106,-0.2605115,0.147059693,green
0.131231879,0.115108165,0.145794991,0.141732043,1.145923684,0.082088642,-0.649248321,-0.260511487,-0.166535693,-0.80302594,0.422354473,0.395629465,0.386896088,0.869943724,2.856482602,-0.050330414,-0.330861972,-0.118218288,-0.283026126,-0.385824801,-0.235911263,green
1.23330653,1.267478664,1.198539906,1.518308626,2.664411572,0.31008769,0.475444215,-0.260511487,0.377311926,0.510263035,3.730533901,0.034803622,-0.297703678,3.376706929,-0.182673894,-0.133193164,4.990920139,1.182938035,-0.406872349,0.432028774,1.413995057,green
0.074628352,0.026687806,0.11864958,0.224343243,-0.886859266,1.412763393,-0.844937,-0.276555661,-0.45425698,-0.735964592,0.089067739,-0.168160915,0.922128632,-0.127894057,0.067001852,-0.159087774,-0.110464935,-0.475684543,-0.153550529,1.27975483,0.863624847,red
-0.349300174,-0.403998214,-0.297898662,0.150864939,-0.097362671,0.837809272,-0.324716938,-0.236445226,-0.096180802,-0.345655555,-0.083747604,0.598594001,-0.173230994,-0.200906577,-0.475397182,-0.14872993,-0.126591547,1.366360953,-0.426575157,2.750693418,0.979840876,green
-0.255625323,-0.311426665,-0.203463219,0.167470206,-0.163723325,0.900785991,-0.365896094,-0.2524894,-0.009654358,-0.400657849,-0.102263534,0.440732695,-0.198125531,-0.359100372,-0.475397182,-0.143551008,-0.126591547,0.142325629,-0.449092652,2.566409151,1.015970211,red
-0.02054131,-0.120887018,0.072005353,-0.087420633,0.324222655,0.184717369,-0.489854472,-0.236445226,-0.405655995,-0.347382631,0.144615528,-0.213264145,-0.459518169,0.103312259,-0.0879693,-0.159087774,1.701091198,0.790037808,-0.451907339,0.290314173,0.259060633,red
-0.094384995,-0.141435411,-0.050722491,0.730388736,0.687254464,0.113577001,-0.109797874,-0.212378965,-0.599789452,0.143816095,-0.009683885,-0.077954454,1.283099418,-0.6389817,-0.053531266,-0.143551008,-0.040582947,0.147536507,-0.409687036,-0.315053506,-0.492429545,red
